row_idx,row,truncated_cells
11,"{'id': '11', 'translation': {'en': '""_You_ want to tell me, and I have no objection to hearing it.""', 'hu': 'Úgyis tudom, hogy el akarja mondani, halljuk hát, nem bánom.'}}",[]
12,"{'id': '12', 'translation': {'en': 'This was invitation enough.', 'hu': 'Az asszonynak nem kellett több biztatás.'}}",[]
13,"{'id': '13', 'translation': {'en': '""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it, that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week.""', 'hu': 'Nos, kedvesem, ha mindenáron tudni akarja: Mrs. Long azt a hírt hozta, hogy Netherfieldet egy vagyonos fiatalember bérelte ki Észak-Angliából; négylovas hintón jött le hétfőn megnézni a birtokot, s annyira megtetszett neki, hogy tüstént megegyezett Mr. Morisszal; Szent Mihály napjáig beköltözik, a cselédség egy része pedig már a jövő hét végén a kastélyban lesz.'}}",[]
14,"{'id': '14', 'translation': {'en': '""What is his name?""', 'hu': 'Mi a neve?'}}",[]
15,"{'id': '15', 'translation': {'en': '""Bingley.""', 'hu': 'Bingley.'}}",[]
16,"{'id': '16', 'translation': {'en': '""Is he married or single?""', 'hu': 'Házasember? Nőtlen?'}}",[]
17,"{'id': '17', 'translation': {'en': '""Oh! Single, my dear, to be sure!', 'hu': 'Nőtlen, drágám, persze hogy az!'}}",[]
18,"{'id': '18', 'translation': {'en': 'A single man of large fortune; four or five thousand a year.', 'hu': 'Nőtlen ember, méghozzá vagyonos; négy-ötezer font az évi jövedelme.'}}",[]
19,"{'id': '19', 'translation': {'en': 'What a fine thing for our girls!""', 'hu': 'Mit szól, milyen szerencse ez a mi lányainknak!'}}",[]
20,"{'id': '20', 'translation': {'en': '""How so?', 'hu': 'Hogy érti ezt?'}}",[]
21,"{'id': '21', 'translation': {'en': 'How can it affect them?""', 'hu': 'Mi köze van ennek a lányokhoz?'}}",[]
22,"{'id': '22', 'translation': {'en': '""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome!', 'hu': 'Drága Bennet - felelte az asszony -, ne legyen ilyen tuskó!'}}",[]
23,"{'id': '23', 'translation': {'en': 'You must know that I am thinking of his marrying one of them.""', 'hu': 'Természetesen arra gondolok, hogy egyik lányunkat feleségül veszi.'}}",[]
24,"{'id': '24', 'translation': {'en': '""Is that his design in settling here?""', 'hu': 'Talán ezzel a szándékkal telepszik itt le?'}}",[]
25,"{'id': '25', 'translation': {'en': '""Design!', 'hu': 'Ezzel a szándékkal!'}}",[]
26,"{'id': '26', 'translation': {'en': 'Nonsense, how can you talk so!', 'hu': 'Hogy mondhat ilyen sületlenséget!'}}",[]
27,"{'id': '27', 'translation': {'en': 'But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes.""', 'hu': 'De egyikükbe feltétlen beleszeret, s ezért rögtön meg kell látogatnia, mihelyt ideérkezik.'}}",[]
28,"{'id': '28', 'translation': {'en': '""I see no occasion for that.', 'hu': 'Eszem ágában sincs.'}}",[]
29,"{'id': '29', 'translation': {'en': 'You and the girls may go, or you may send them by themselves, which perhaps will be still better, for as you are as handsome as any of them, Mr. Bingley may like you the best of the party.""', 'hu': 'Maga és a lányok elmehetnek; talán még jobb, ha egyedül küldi el őket, mert maga van olyan csinos, mint akármelyik lánya, és Mr. Bingleynek esetleg maga tetszene legjobban az egész társaságban.'}}",[]
30,"{'id': '30', 'translation': {'en': '""My dear, you flatter me.', 'hu': 'Drágám, ne hízelegjen!'}}",[]
31,"{'id': '31', 'translation': {'en': 'I certainly _have_ had my share of beauty, but I do not pretend to be anything extraordinary now.', 'hu': 'Nem mondom, voltam én is csinos, de most már nem tartom magam különös szépségnek.'}}",[]
32,"{'id': '32', 'translation': {'en': 'When a woman has five grown-up daughters, she ought to give over thinking of her own beauty.""', 'hu': 'Ha egy asszonynak öt eladó lánya van, ne törődjék többet a szépségével.'}}",[]
33,"{'id': '33', 'translation': {'en': '""In such cases, a woman has not often much beauty to think of.""', 'hu': 'Ilyen esetben hiába is törődik vele már.'}}",[]
34,"{'id': '34', 'translation': {'en': '""But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood.""', 'hu': 'De kedvesem, igazán meg kell látogatnia Mr. Bingleyt, mihelyt letelepszik a szomszédságunkban.'}}",[]
35,"{'id': '35', 'translation': {'en': '""It is more than I engage for, I assure you.""', 'hu': 'Ez több, mint amit megígérhetek, higgye el.'}}",[]
36,"{'id': '36', 'translation': {'en': '""But consider your daughters.', 'hu': 'Gondoljon a lányaira.'}}",[]
37,"{'id': '37', 'translation': {'en': 'Only think what an establishment it would be for one of them.', 'hu': 'Gondolja meg, milyen szerencse lenne ez egyiküknek.'}}",[]
38,"{'id': '38', 'translation': {'en': 'Sir William and Lady Lucas are determined to go, merely on that account, for in general, you know, they visit no newcomers.', 'hu': 'Sir William és Lady Lucas már eltökélték, hogy meglátogatják; nekik is csak ez foroghat az eszükben, mert máskülönben, mint maga is tudja, nem keresnek fel jövevényeket.'}}",[]
39,"{'id': '39', 'translation': {'en': 'Indeed you must go, for it will be impossible for _us_ to visit him if you do not.""', 'hu': 'Ennyit megtehet, mert hogy néz ki, ha mi csak úgy beállítunk.'}}",[]
40,"{'id': '40', 'translation': {'en': '""You are over-scrupulous, surely.', 'hu': 'Mire valók az ilyen aggályok?'}}",[]
41,"{'id': '41', 'translation': {'en': 'I dare say Mr. Bingley will be very glad to see you; and I will send a few lines by you to assure him of my hearty consent to his marrying whichever he chooses of the girls; though I must throw in a good word for my little Lizzy.""', 'hu': 'Mr. Bingley bizonyára nagyon szívesen látja magukat; majd átadnak neki néhány sort, amelyben atyai áldásomat adom, ha a lányok bármelyikét feleségül akarja venni - noha a magam részéről a kis Lizzy mellett emelnék szót.'}}",[]
42,"{'id': '42', 'translation': {'en': '""I desire you will do no such thing.', 'hu': 'Ilyesmi ne is jusson az eszébe.'}}",[]
43,"{'id': '43', 'translation': {'en': 'Lizzy is not a bit better than the others; and I am sure she is not half so handsome as Jane, nor half so good-humoured as Lydia.', 'hu': 'Lizzy semmivel sem különb a többinél; közel sem olyan szép, mint Jane, és közel sem olyan jó kedélyű, mint Lydia.'}}",[]
44,"{'id': '44', 'translation': {'en': 'But you are always giving _her_ the preference.""', 'hu': 'Persze magának mindig Lizzy volt a kedvence.'}}",[]
45,"{'id': '45', 'translation': {'en': '""They have none of them much to recommend them,"" replied he; ""they are all silly and ignorant like other girls; but Lizzy has something more of quickness than her sisters.""', 'hu': 'Egyikről sem lehet valami sok jót mondani - jegyezte meg az apjuk -, mind csacska, üresfejű teremtés, mint a lányok általában; de Lizzynek fürgébb az észjárása, mint a nővéreinek.'}}",[]
46,"{'id': '46', 'translation': {'en': '""Mr. Bennet, how _can_ you abuse your own children in such a way?', 'hu': 'Mondja, Bennet, miért rágalmazza meg így tulajdon gyermekeit?'}}",[]
47,"{'id': '47', 'translation': {'en': 'You take delight in vexing me.', 'hu': 'Abban leli örömét, hogy engem gyötör.'}}",[]
48,"{'id': '48', 'translation': {'en': 'You have no compassion for my poor nerves.""', 'hu': 'Semmi tekintettel sincs az idegeimre.'}}",[]
49,"{'id': '49', 'translation': {'en': '""You mistake me, my dear. I have a high respect for your nerves.', 'hu': 'Téved, drágám; nagyon is tisztelem az idegeit.'}}",[]
50,"{'id': '50', 'translation': {'en': 'They are my old friends. I have heard you mention them with consideration these last twenty years at least.""', 'hu': 'Hiszen régi ismerőseim: legalább húsz év óta állandóan rájuk hivatkozik.'}}",[]
51,"{'id': '51', 'translation': {'en': '""Ah, you do not know what I suffer.""', 'hu': 'Ó, ha tudná, mit szenvedek!'}}",[]
52,"{'id': '52', 'translation': {'en': '""But I hope you will get over it, and live to see many young men of four thousand a year come into the neighbourhood.""', 'hu': 'Remélem, túléli, és megéri még, hogy sok fiatalember költözik erre a környékre, akinek négyezer font az évi jövedelme.'}}",[]
53,"{'id': '53', 'translation': {'en': '""It will be no use to us, if twenty such should come, since you will not visit them.""', 'hu': 'Hiába jönnének húszan is ide, ha nem akarja őket meglátogatni.'}}",[]
54,"{'id': '54', 'translation': {'en': '""Depend upon it, my dear, that when there are twenty, I will visit them all.""', 'hu': 'Szentül ígérem, hogy valamennyiüket végiglátogatom, persze ha már mind a húsz itt lesz.'}}",[]
55,"{'id': '55', 'translation': {'en': 'Mr. Bennet was so odd a mixture of quick parts, sarcastic humour, reserve, and caprice, that the experience of three-and-twenty years had been insufficient to make his wife understand his character. _Her_ mind was less difficult to develop.', 'hu': 'Mr. Bennet alkatában oly különös módon keveredett a fürge elme, a gunyoros modor, a tartózkodás és a szeszély, hogy felesége huszonhárom évi tapasztalat után sem értette meg jellemét.'}}",[]
56,"{'id': '56', 'translation': {'en': 'She was a woman of mean understanding, little information, and uncertain temper.', 'hu': 'Mrs. Bennetet könnyebb volt kiismerni: gyarló eszű, csekély tudású, hullámzó kedélyű asszony volt.'}}",[]
57,"{'id': '57', 'translation': {'en': 'When she was discontented, she fancied herself nervous.', 'hu': 'Mikor elégedetlenség kínozta, idegesnek képzelte magát.'}}",[]
58,"{'id': '58', 'translation': {'en': 'The business of her life was to get her daughters married; its solace was visiting and news.', 'hu': 'Élete feladatának azt tartotta, hogy férjhez adja leányait, vigaszt a látogatásokban és a pletykákban talált.'}}",[]
59,"{'id': '59', 'translation': {'en': 'Chapter 2', 'hu': '2. FEJEZET'}}",[]
60,"{'id': '60', 'translation': {'en': 'Mr. Bennet was among the earliest of those who waited on Mr. Bingley.', 'hu': 'Mr. Bennet az elsők között tette tiszteletét Mr. Bingleynél.'}}",[]
61,"{'id': '61', 'translation': {'en': 'He had always intended to visit him, though to the last always assuring his wife that he should not go; and till the evening after the visit was paid she had no knowledge of it.', 'hu': 'Mindjárt kezdetben úgy döntött, hogy meglátogatja, bár feleségének az utolsó pillanatig azt hajtogatta, hogy nem keresi fel, s az asszony a látogatásról csak a következő este szerzett tudomást.'}}",[]
62,"{'id': '62', 'translation': {'en': 'It was then disclosed in the following manner.', 'hu': 'A dolog a következőképpen derült ki.'}}",[]
63,"{'id': '63', 'translation': {'en': 'Observing his second daughter employed in trimming a hat, he suddenly addressed her with:', 'hu': 'Mr. Bennet a második leányát figyelte, aki éppen kalapot díszített, majd hirtelen e szavakkal fordult hozzá:'}}",[]
64,"{'id': '64', 'translation': {'en': '""I hope Mr. Bingley will like it, Lizzy.""', 'hu': 'Remélem, Lizzy, a kalap tetszeni fog Mr. Bingleynek is.'}}",[]
65,"{'id': '65', 'translation': {'en': '""We are not in a way to know _what_ Mr. Bingley likes,"" said her mother resentfully, ""since we are not to visit.""', 'hu': 'Nem áll módunkban megtudni, mi tetszik Mr. Bingleynek - mondta Mrs. Bennet szemrehányóan -, hiszen nem látogatjuk meg.'}}",[]
66,"{'id': '66', 'translation': {'en': '""But you forget, mamma,"" said Elizabeth, ""that we shall meet him at the assemblies, and that Mrs. Long promised to introduce him.""', 'hu': 'De arról megfeledkezik, mama - mondta Elizabeth -, hogy találkozni fogunk vele társaságban, s Mrs. Long megígérte, hogy bemutatja nekünk.'}}",[]
67,"{'id': '67', 'translation': {'en': '""I do not believe Mrs. Long will do any such thing.', 'hu': 'Csak nem képzeled, hogy Mrs. Long ezt megtenné?'}}",[]
68,"{'id': '68', 'translation': {'en': 'She has two nieces of her own.', 'hu': 'Neki magának is két unokahúga van.'}}",[]
69,"{'id': '69', 'translation': {'en': 'She is a selfish, hypocritical woman, and I have no opinion of her.""', 'hu': 'Önző, képmutató nőszemély, nem várok tőle semmi jót.'}}",[]
70,"{'id': '70', 'translation': {'en': '""No more have I,"" said Mr. Bennet; ""and I am glad to find that you do not depend on her serving you.""', 'hu': 'Én sem - tette hozzá Mr. Bennet -, s ezért örülök, hogy nem szorulunk a szolgálataira.'}}",[]
71,"{'id': '71', 'translation': {'en': 'Mrs. Bennet deigned not to make any reply, but, unable to contain herself, began scolding one of her daughters.', 'hu': 'Mrs. Bennet nem méltatta férjét válaszra, de mivel nem tudott magán uralkodni, egyik lányába kötött bele:'}}",[]
72,"{'id': '72', 'translation': {'en': '""Don\'t keep coughing so, Kitty, for Heaven\'s sake!', 'hu': 'Ne köhögj már annyit, Kitty, az isten szerelmére!'}}",[]
73,"{'id': '73', 'translation': {'en': 'Have a little compassion on my nerves. You tear them to pieces.""', 'hu': 'Kíméld kissé az idegeimet, tönkremennek belé.'}}",[]
74,"{'id': '74', 'translation': {'en': '""Kitty has no discretion in her coughs,"" said her father; ""she times them ill.""', 'hu': 'Kitty meggondolatlanul szokott köhögni - jegyezte meg az apja -, nem a kellő időben.'}}",[]
75,"{'id': '75', 'translation': {'en': '""I do not cough for my own amusement,"" replied Kitty fretfully. ""When is your next ball to be, Lizzy?""', 'hu': 'Nem szórakozásból köhögök - felelte Kitty durcásan. - Mikor lesz a következő bál, Lizzy?'}}",[]
76,"{'id': '76', 'translation': {'en': '""To-morrow fortnight.""', 'hu': 'Holnaphoz két hétre.'}}",[]
77,"{'id': '77', 'translation': {'en': '""Aye, so it is,"" cried her mother, ""and Mrs. Long does not come back till the day before; so it will be impossible for her to introduce him, for she will not know him herself.""', 'hu': 'Igen, akkor! - kiáltott Mrs. Bennet. - Mr. Long pedig csak előtte levő nap érkezik vissza; így hát be sem mutathatja Mr. Bingleyt, mert ő maga sem ismeri még akkor.'}}",[]
78,"{'id': '78', 'translation': {'en': '""Then, my dear, you may have the advantage of your friend, and introduce Mr. Bingley to _her_.""', 'hu': 'Így hát, drágám, lefőzheti a barátnőjét, mert maga mutathatja be neki Mr. Bingleyt.'}}",[]
79,"{'id': '79', 'translation': {'en': '""Impossible, Mr. Bennet, impossible, when I am not acquainted with him myself; how can you be so teasing?""', 'hu': 'Lehetetlen, Bennet, lehetetlen, hiszen magam sem ismerem. Miért kínoz ennyire?'}}",[]
80,"{'id': '80', 'translation': {'en': '""I honour your circumspection.', 'hu': 'Lám, ez megfontolt beszéd.'}}",[]
81,"{'id': '81', 'translation': {'en': ""A fortnight's acquaintance is certainly very little."", 'hu': 'Kétheti ismeretség valóban igen rövid - ennyi idő alatt nem lehet egy embert kiismerni.'}}",[]
82,"{'id': '82', 'translation': {'en': 'One cannot know what a man really is by the end of a fortnight.', 'hu': 'De ha mi nem vállaljuk, lesz más, aki vállalja.'}}",[]
83,"{'id': '83', 'translation': {'en': 'But if _we_ do not venture somebody else will; and after all, Mrs. Long and her daughters must stand their chance; and, therefore, as she will think it an act of kindness, if you decline the office, I will take it on myself.""', 'hu': 'Elvégre Mrs. Longot és unokahúgait sem lehet megfosztani az esélytől; ő bizonyára szívességnek fogja ezt tekinteni, s ha maga nem hajlandó erre a szolgálatra, én vállalom.'}}",[]
84,"{'id': '84', 'translation': {'en': 'The girls stared at their father.', 'hu': 'A leányok apjukra bámultak.'}}",[]
85,"{'id': '85', 'translation': {'en': 'Mrs. Bennet said only, ""Nonsense, nonsense!""', 'hu': 'Mrs. Bennet csak ennyit mondott: - Ostobaság, merő ostobaság!'}}",[]
86,"{'id': '86', 'translation': {'en': '""What can be the meaning of that emphatic exclamation?"" cried he. ""Do you consider the forms of introduction, and the stress that is laid on them, as nonsense?', 'hu': 'Miért e heves tiltakozás? - kérdezte Mr. Bennet. - Talán ostobaságnak tartja a bemutatkozás formaságait és jelentőségét?'}}",[]
87,"{'id': '87', 'translation': {'en': 'I cannot quite agree with you _there_.', 'hu': 'Ebben nem értek egyet teljesen magával.'}}",[]
88,"{'id': '88', 'translation': {'en': 'What say you, Mary?', 'hu': 'Mi a véleményed, Mary?'}}",[]
89,"{'id': '89', 'translation': {'en': 'For you are a young lady of deep reflection, I know, and read great books and make extracts.""', 'hu': 'Tudom, hogy a kisasszony sokat töpreng, komoly könyveket olvas, és kivonatot készít belőlük.'}}",[]
90,"{'id': '90', 'translation': {'en': 'Mary wished to say something sensible, but knew not how.', 'hu': 'Mary valami nagyon okosat akart felelni, de nem tudta, mit.'}}",[]
91,"{'id': '91', 'translation': {'en': '""While Mary is adjusting her ideas,"" he continued, ""let us return to Mr. Bingley.""', 'hu': 'Amíg Mary a gondolatait rendezi - folytatta az apja -, térjünk vissza Mr. Bingleyre.'}}",[]
92,"{'id': '92', 'translation': {'en': '""I am sick of Mr. Bingley,"" cried his wife.', 'hu': 'Mr. Bingleyvel már torkig vagyok! - csattant fel az asszony.'}}",[]
93,"{'id': '93', 'translation': {'en': '""I am sorry to hear _that_; but why did not you tell me that before?', 'hu': 'Ezt igazán sajnálom; de miért nem szólt nekem előbb?'}}",[]
94,"{'id': '94', 'translation': {'en': 'If I had known as much this morning I certainly would not have called on him.', 'hu': 'Ha délelőtt tudtam volna, semmi esetre sem látogatom meg.'}}",[]
95,"{'id': '95', 'translation': {'en': 'It is very unlucky; but as I have actually paid the visit, we cannot escape the acquaintance now.""', 'hu': 'Kár, hogy így történt; de mivel már tiszteletemet tettem nála, nem zárkózhatunk el az ismeretség elől.'}}",[]
96,"{'id': '96', 'translation': {'en': 'The astonishment of the ladies was just what he wished; that of Mrs. Bennet perhaps surpassing the rest; though, when the first tumult of joy was over, she began to declare that it was what she had expected all the while.', 'hu': 'A hölgyek meglepődtek - Mr. Bennet éppen ezt akarta elérni -; felesége talán a leányain is túltett, bár amikor az első örömkitörés lecsendesedett, kijelentette, hogy kezdettől fogva ezt várta.'}}",[]
97,"{'id': '97', 'translation': {'en': '""How good it was in you, my dear Mr. Bennet!', 'hu': 'Milyen kedves magától, drága Bennet!'}}",[]
98,"{'id': '98', 'translation': {'en': 'But I knew I should persuade you at last.', 'hu': 'Tudtam, hogy végül enged a rábeszélésnek.'}}",[]
99,"{'id': '99', 'translation': {'en': 'I was sure you loved your girls too well to neglect such an acquaintance.', 'hu': 'Tudtam, jobban szereti maga a lányait, semhogy ilyen ismeretséget elszalasszon. Ó, milyen boldog vagyok!'}}",[]
